Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,date,year,month,day
,Russia,2020-01-31T16:13:45,2,0,0,Feb03,2020,2,3
,UK,2020-02-01T01:52:40,2,0,0,Feb03,2020,2,3
"Chicago, IL",US,2020-02-01T19:43:03,2,0,0,Feb03,2020,2,3
"San Benito, CA",US,2020-02-03T03:53:02,2,0,0,Feb03,2020,2,3
"Santa Clara, CA",US,2020-02-03T00:43:02,2,0,0,Feb03,2020,2,3
,Cambodia,2020-01-31T08:15:53,1,0,0,Feb03,2020,2,3
British Columbia,Canada,2020-02-01T18:12:49,1,0,0,Feb03,2020,2,3
,Finland,2020-01-31T08:15:53,1,0,0,Feb03,2020,2,3
Tibet,Mainland China,2020-02-01T01:52:40,1,0,0,Feb03,2020,2,3
,Nepal,2020-01-31T08:15:53,1,0,0,Feb03,2020,2,3
,Spain,2020-02-01T23:43:02,1,0,0,Feb03,2020,2,3
,Sri Lanka,2020-01-31T08:15:53,1,0,0,Feb03,2020,2,3
,Sweden,2020-02-01T02:13:26,1,0,0,Feb03,2020,2,3
"Boston, MA",US,2020-02-01T19:43:03,1,0,0,Feb03,2020,2,3
"Los Angeles, CA",US,2020-02-01T19:53:03,1,0,0,Feb03,2020,2,3
"Orange, CA",US,2020-02-01T19:53:03,1,0,0,Feb03,2020,2,3
"Seattle, WA",US,2020-02-01T19:43:03,1,0,0,Feb03,2020,2,3
"Tempe, AZ",US,2020-02-01T19:43:03,1,0,0,Feb03,2020,2,3
