Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude,date,year,month,day
Mayotte,France,2020-04-11 22:45:13,196,3,59,-12.8275,45.166244,Apr11,2020,4,11
Montserrat,United Kingdom,2020-04-11 22:45:13,9,0,0,16.742498,-62.187366,Apr11,2020,4,11
New Brunswick,Canada,2020-04-11 22:52:28,112,0,0,46.5653,-66.4619,Apr11,2020,4,11
New Caledonia,France,2020-04-11 22:45:13,18,0,1,-20.904305,165.618042,Apr11,2020,4,11
New South Wales,Australia,2020-04-11 22:52:46,2857,23,4,-33.8688,151.2093,Apr11,2020,4,11
Newfoundland and Labrador,Canada,2020-04-11 22:52:28,241,3,0,53.1355,-57.6604,Apr11,2020,4,11
Ningxia,China,2020-03-16 08:47:05,75,0,75,37.2692,106.1655,Apr11,2020,4,11
Northern Mariana Islands,US,2020-04-11 22:45:33,6,1,0,15.0979,145.6739,Apr11,2020,4,11
Northern Territory,Australia,2020-04-11 22:52:46,28,0,2,-12.4634,130.8456,Apr11,2020,4,11
Northwest Territories,Canada,2020-04-11 22:52:28,5,0,0,64.8255,-124.8457,Apr11,2020,4,11
Nova Scotia,Canada,2020-04-11 22:52:28,428,2,0,44.682,-63.7443,Apr11,2020,4,11
Ontario,Canada,2020-04-11 22:52:28,6648,253,0,51.2538,-85.3232,Apr11,2020,4,11
Prince Edward Island,Canada,2020-04-11 22:52:28,25,0,0,46.5107,-63.4168,Apr11,2020,4,11
Puerto Rico,US,2020-04-11 22:45:33,788,42,0,18.2208,-66.5901,Apr11,2020,4,11
Qinghai,China,2020-02-23 11:19:02,18,0,18,35.7452,95.9956,Apr11,2020,4,11
Quebec,Canada,2020-04-11 22:52:28,12292,289,0,52.9399,-73.5491,Apr11,2020,4,11
Queensland,Australia,2020-04-11 22:52:46,974,5,372,-27.4698,153.0251,Apr11,2020,4,11
Recovered,Canada,2020-04-11 22:52:28,0,0,6589,,,Apr11,2020,4,11
Recovered,US,2020-04-11 22:45:33,0,0,31270,,,Apr11,2020,4,11
Reunion,France,2020-04-11 22:45:13,388,0,40,-21.1151,55.5364,Apr11,2020,4,11
Saint Barthelemy,France,2020-04-11 22:45:13,6,0,1,17.9,-62.8333,Apr11,2020,4,11
Saint Pierre and Miquelon,France,2020-04-11 22:45:13,1,0,0,46.8852,-56.3159,Apr11,2020,4,11
Saskatchewan,Canada,2020-04-11 22:52:28,289,4,0,52.9399,-106.4509,Apr11,2020,4,11
Shaanxi,China,2020-04-11 00:52:23,256,3,248,35.1917,108.8701,Apr11,2020,4,11
Shandong,China,2020-04-11 00:37:12,784,7,757,36.3427,118.1498,Apr11,2020,4,11
Shanghai,China,2020-04-11 08:35:43,555,7,438,31.202,121.4491,Apr11,2020,4,11
Shanxi,China,2020-04-11 00:16:52,172,0,135,37.5777,112.2922,Apr11,2020,4,11
Sichuan,China,2020-04-11 00:41:14,560,3,547,30.6171,102.7103,Apr11,2020,4,11
Sint Maarten,Netherlands,2020-04-11 22:45:13,50,9,5,18.0425,-63.0548,Apr11,2020,4,11
South Australia,Australia,2020-04-11 22:52:46,429,3,179,-34.9285,138.6007,Apr11,2020,4,11
St Martin,France,2020-04-11 22:45:13,32,2,11,18.0708,-63.0501,Apr11,2020,4,11
Tasmania,Australia,2020-04-11 22:52:46,133,4,48,-42.8821,147.3272,Apr11,2020,4,11
Tianjin,China,2020-04-11 12:53:33,183,3,161,39.3054,117.323,Apr11,2020,4,11
Tibet,China,2020-02-23 11:19:02,1,0,1,31.6927,88.0924,Apr11,2020,4,11
Turks and Caicos Islands,United Kingdom,2020-04-11 22:45:13,8,1,0,21.69400000000001,-71.7979,Apr11,2020,4,11
Victoria,Australia,2020-04-11 22:52:46,1265,14,926,-37.8136,144.9631,Apr11,2020,4,11
Virgin Islands,US,2020-04-11 22:45:33,51,1,0,18.3358,-64.8963,Apr11,2020,4,11
Western Australia,Australia,2020-04-11 22:52:46,514,6,216,-31.9505,115.8605,Apr11,2020,4,11
Xinjiang,China,2020-03-08 05:31:02,76,3,73,41.1129,85.2401,Apr11,2020,4,11
Yukon,Canada,2020-04-11 22:52:28,8,0,0,64.2823,-135.0,Apr11,2020,4,11
Yunnan,China,2020-04-11 00:13:50,184,2,174,24.974,101.487,Apr11,2020,4,11
Zhejiang,China,2020-04-11 02:04:28,1267,1,1236,29.1832,120.0934,Apr11,2020,4,11
,Afghanistan,2020-04-11 22:45:13,555,18,32,33.93911,67.709953,Apr11,2020,4,11
,Albania,2020-04-11 22:45:13,433,23,197,41.1533,20.1683,Apr11,2020,4,11
,Algeria,2020-04-11 22:45:13,1825,275,460,28.0339,1.6596,Apr11,2020,4,11
,Andorra,2020-04-11 22:45:13,601,26,71,42.5063,1.5218,Apr11,2020,4,11
,Angola,2020-04-11 22:45:13,19,2,4,-11.2027,17.8739,Apr11,2020,4,11
,Antigua and Barbuda,2020-04-11 22:45:13,21,2,0,17.0608,-61.7964,Apr11,2020,4,11
,Argentina,2020-04-11 22:45:13,1975,83,440,-38.4161,-63.6167,Apr11,2020,4,11
,Armenia,2020-04-11 22:45:13,967,13,173,40.0691,45.0382,Apr11,2020,4,11
,Austria,2020-04-11 22:45:13,13806,337,6604,47.5162,14.5501,Apr11,2020,4,11
,Azerbaijan,2020-04-11 22:45:13,1058,11,200,40.1431,47.5769,Apr11,2020,4,11
,Bahamas,2020-04-11 22:45:13,46,8,5,25.025885,-78.035889,Apr11,2020,4,11
,Bahrain,2020-04-11 22:45:13,1040,6,555,26.0275,50.55,Apr11,2020,4,11
,Bangladesh,2020-04-11 22:45:13,482,30,36,23.685,90.3563,Apr11,2020,4,11
,Barbados,2020-04-11 22:45:13,68,4,11,13.1939,-59.5432,Apr11,2020,4,11
,Belarus,2020-04-11 22:45:13,2226,23,172,53.7098,27.9534,Apr11,2020,4,11
